-2.22290880901178350e-01 2.77709119098821677e-01
-2.37506048186030355e-01 2.62493951813969673e-01
-2.22263939229392748e-01 2.77736060770607252e-01
-2.37504978736652078e-01 2.62495021263347894e-01
-2.29895409834214526e-01 2.70104590165785474e-01
-2.37502978911768414e-01 2.62497021088231586e-01
-2.22277380149371789e-01 2.77722619850628183e-01
-2.37505564885818754e-01 2.62494435114181246e-01
-2.29881922820635992e-01 2.70118077179364036e-01
-2.37502459886250822e-01 2.62497540113749150e-01
-2.20485826334319124e-01 2.79514173665680876e-01
-2.37504019043682346e-01 2.62495980956317654e-01
-2.21374868678924502e-01 2.78625131321075470e-01
-2.37504580932857701e-01 2.62495419067142299e-01
-2.28992839685655730e-01 2.71007160314344242e-01
-2.37501971828752712e-01 2.62498028171247288e-01
-2.19974224942362850e-01 2.80025775057637150e-01
-2.37507910896436164e-01 2.62492089103563808e-01
-2.20814207214981822e-01 2.79185792785018150e-01
-2.37507700284039586e-01 2.62492299715960387e-01
-2.20394083894808773e-01 2.79605916105191254e-01
-2.37507864307041100e-01 2.62492135692958872e-01
-2.29157084708128234e-01 2.70842915291871766e-01
-2.37503705861086156e-01 2.62496294138913844e-01
-2.28737069719909814e-01 2.71262930280090186e-01
-2.37503769259931663e-01 2.62496230740068337e-01
-2.17910019502231184e-01 2.82089980497768789e-01
-2.37508827256253274e-01 2.62491172743746726e-01
-2.27704975096382350e-01 2.72295024903617677e-01
-2.37504270355114594e-01 2.62495729644885434e-01
-2.20100350293110092e-01 2.79899649706889908e-01
-2.37507444468418094e-01 2.62492555531581906e-01
-2.19643009687164076e-01 2.80356990312835952e-01
-2.37499739885739691e-01 2.62500260114260309e-01
-2.19190428196615023e-01 2.80809571803385005e-01
-2.37497452768461015e-01 2.62502547231538985e-01
-2.19416718206113109e-01 2.80583281793886918e-01
-2.37498597107526604e-01 2.62501402892473368e-01
-2.28345115857884751e-01 2.71654884142115249e-01
-2.37498821242523445e-01 2.62501178757476583e-01
-2.28571406433463298e-01 2.71428593566536702e-01
-2.37499937395163452e-01 2.62500062604836548e-01
-2.19362074232605481e-01 2.80637925767394547e-01
-2.37508346946974064e-01 2.62491653053025964e-01
-2.21715796444856672e-01 2.78284203555143328e-01
-2.37493592261608821e-01 2.62506407738391179e-01
-2.15835571816932636e-01 2.84164428183067364e-01
-2.37490073994744283e-01 2.62509926005255745e-01
-2.18775556409882083e-01 2.81224443590117945e-01
-2.37491842995505686e-01 2.62508157004494314e-01
-2.26667705571671735e-01 2.73332294428328237e-01
-2.37495240512673733e-01 2.62504759487326267e-01
-2.29607855362307434e-01 2.70392144637692566e-01
-2.37496876714546445e-01 2.62503123285453555e-01
-2.18263442655970252e-01 2.81736557344029748e-01
-2.37491017839055601e-01 2.62508982160944371e-01
-2.18946107153210640e-01 2.81053892846789388e-01
-2.37491540055578515e-01 2.62508459944421513e-01
-2.18604689890948722e-01 2.81395310109051278e-01
-2.37491227103954400e-01 2.62508772896045572e-01
-2.28223040142121303e-01 2.71776959857878697e-01
-2.37495999259083712e-01 2.62504000740916288e-01
-2.27881675687486740e-01 2.72118324312513260e-01
-2.37495700495315321e-01 2.62504299504684679e-01
-2.16532928641210598e-01 2.83467071358789402e-01
-2.37502490186069781e-01 2.62497509813930219e-01
-2.18509365429756741e-01 2.81490634570243259e-01
-2.37503410239770590e-01 2.62496589760229382e-01
-2.27016334873860387e-01 2.72983665126139641e-01
-2.37501243289023889e-01 2.62498756710976111e-01
-2.17749844814538240e-01 2.82250155185461760e-01
-2.37495078248023156e-01 2.62504921751976816e-01
-2.18470127672158232e-01 2.81529872327841768e-01
-2.37496271933717223e-01 2.62503728066282804e-01
-2.27624819231661307e-01 2.72375180768338665e-01
-2.37497646917819577e-01 2.62502353082180451e-01
-2.18087967548697137e-01 2.81912032451302863e-01
-2.37501022534430450e-01 2.62498977465569550e-01
-2.14424608952816592e-01 2.85575391047183380e-01
-2.37491979057623703e-01 2.62508020942376297e-01
-2.18070180475421815e-01 2.81929819524578185e-01
-2.37492606155337016e-01 2.62507393844662984e-01
-2.25962190836998006e-01 2.74037809163001966e-01
-2.37496163847300823e-01 2.62503836152699177e-01
-2.17049460874765981e-01 2.82950539125234046e-01
-2.37490469992332365e-01 2.62509530007667635e-01
-2.13917861938437648e-01 2.86082138061562352e-01
-2.37489503536579410e-01 2.62510496463420562e-01
-2.16431608611841519e-01 2.83568391388158481e-01
-2.37490481220649613e-01 2.62509518779350415e-01
-2.25708922430895159e-01 2.74291077569104869e-01
-2.37495275054893096e-01 2.62504724945106904e-01
-2.16087197535826225e-01 2.83912802464173775e-01
-2.37493551530772923e-01 2.62506448469227049e-01
-2.10574407494366289e-01 2.89425592505633711e-01
-2.37512362663147930e-01 2.62487637336852098e-01
-2.24037213125052981e-01 2.75962786874947019e-01
-2.37505498003624110e-01 2.62494501996375917e-01
-2.15273794523011569e-01 2.84726205476988459e-01
-2.37510131807173064e-01 2.62489868192826936e-01
-2.14551225179320459e-01 2.85448774820679541e-01
-2.37490551613618373e-01 2.62509448386381627e-01
-2.14234208546631888e-01 2.85765791453368112e-01
-2.37490031832846310e-01 2.62509968167153662e-01
-2.26025491406912721e-01 2.73974508593087251e-01
-2.37496051019940480e-01 2.62503948980059520e-01
-2.12520754489672115e-01 2.87479245510327885e-01
-2.37489758532749229e-01 2.62510241467250771e-01
-2.13534852423903576e-01 2.86465147576096424e-01
-2.37490256217461532e-01 2.62509743782538496e-01
-2.25011184538223913e-01 2.74988815461776115e-01
-2.37496253245926686e-01 2.62503746754073286e-01
-2.12687461796735394e-01 2.87312538203264634e-01
-2.37510516158606383e-01 2.62489483841393645e-01
-2.12520760185885726e-01 2.87479239814114274e-01
-2.37510265752977734e-01 2.62489734247022266e-01
-2.25093690988045464e-01 2.74906309011954564e-01
-2.37504351582562334e-01 2.62495648417437666e-01
-2.25011214921680358e-01 2.74988785078319642e-01
-2.37503746327263315e-01 2.62496253672736657e-01
-2.12603051437171287e-01 2.87396948562828713e-01
-2.37510299072047931e-01 2.62489700927952041e-01
