eta,size,rho_exact,max_intrinsic_ratio_dT0,epsilon_max_uniform_dT,epsilon_used,max_full_ratio,required_bound_q,strictly_verified,dS_min_over_median,dS_max_over_median
0.0,84,0.9991501990989532,0.9995800484113587,1.8508281898115277e-05,1.8508281898115277e-06,0.9996109480756595,1.0,True,0.6027404392751501,2.173788252199636
0.05,55,0.9490047602235482,0.9494335612060167,2.063259078339135e-05,2.063259078339135e-06,0.9494856484258212,0.95,True,0.6471131274882896,1.8116720230650443
0.15,13,0.8484292953934998,0.8490825032666841,3.780595465573045e-05,3.7805954655730456e-06,0.8491486588205047,0.85,True,0.5051784142688787,2.035671171624969
