size,method,rho,coordinates_1based
75,large_P_leverage,1.2446308576418919,19704 19964 20146 20186 20236 20242 20270 20300 20360 20390 20398 20412 20466 20468 20490 20520 20534 20556 20580 20594 20606 20616 20620 20626 20634 20638 20644 20650 20658 20662 20666 20670 20748 20756 20774 20782 20790 20794 20802 20806 20818 20826 20840 20848 20852 20864 20880 20940 20964 20968 20980 20998 21006 21010 21016 21020 21026 21080 21096 21098 21118 21126 21140 21162 21174 21180 21262 21268 21284 21304 21308 21320 21336 21362 21366
75,small_diag_absPi,1.26074535479446,15758 15768 16042 16330 16338 16586 17086 17142 17402 17416 17612 17658 17680 17714 17914 18162 18212 18222 18230 18472 18482 18484 18490 18940 18948 19202 19364 19698 19704 20184 20236 20488 20494 20752 20832 20840 21021 21022 21096 21118 21265 21266 21278 21279 21280 21293 21317 21343 21357 21363 21375 21381 21387 21395 21401 21407 21413 21419 21425 21431 21439 21450 21464 21466 21505 21521 21523 21531 21535 21537 21539 21545 21553 21559 21567
75,large_diag_Q,1.26074535479446,15758 15768 16042 16330 16338 16586 17086 17142 17402 17416 17612 17658 17680 17714 17914 18162 18212 18222 18230 18472 18482 18484 18490 18940 18948 19202 19364 19698 19704 20184 20236 20488 20494 20752 20832 20840 21021 21022 21096 21118 21265 21266 21278 21279 21280 21293 21317 21343 21357 21363 21375 21381 21387 21395 21401 21407 21413 21419 21425 21431 21439 21450 21464 21466 21505 21521 21523 21531 21535 21537 21539 21545 21553 21559 21567
75,large_AP_energy,1.560087271643388,2866 7445 7446 7524 7542 7603 7615 7616 7639 7640 7747 7748 7823 7824 7825 7826 7851 7921 7922 7925 7926 8089 8090 8091 8092 8175 8176 8297 8298 8301 8302 8479 8480 8481 8482 11661 11662 11767 11768 11793 11794 11843 11844 11921 11922 11939 11940 11941 11942 12067 12068 12069 12070 12103 12129 12130 12165 12166 12227 12228 12230 12233 12234 12285 12286 12315 12316 12395 12396 12397 12398 12427 12428 12549 12550
100,best_local,1.020600955429051,88 489 501 571 734 1046 1303 1628 1710 1792 2687 2768 2965 2991 3070 3745 4478 4737 4989 5210 5454 5751 6187 6481 6838 7316 7321 7457 7643 7744 7786 7996 8174 8707 8719 8774 8889 9283 10012 10338 10389 10401 10745 11261 11567 11722 11798 11892 11918 12047 12131 12341 12428 12538 12831 12858 13024 13137 13654 13771 13834 13919 14706 14991 15037 15446 15506 15791 16198 16343 16538 16589 17175 17183 17232 17578 17633 17712 18479 18647 18721 18884 19037 19535 19706 19892 19908 19956 20170 20242 20283 20876 20938 21092 21095 21106 21216 21299 21426 21431
100,perron_prune_local,1.0220871288286406,88 489 571 734 1131 1222 1303 1628 1710 1792 2687 2768 2965 3070 3745 4737 4989 5049 5210 5751 6187 6481 6838 7316 7321 7457 7744 7786 7996 8032 8174 8707 8719 8774 8889 9283 9844 10012 10338 10389 10401 10745 11261 11567 11722 11730 11798 11892 11918 12047 12131 12341 12428 12439 12629 12831 12858 13024 13137 13652 13771 13834 13919 14706 14991 15037 15056 15339 15547 15791 16198 16538 16589 17175 17183 17232 17633 17680 17712 18479 18647 18721 18884 19037 19393 19535 19706 19892 20170 20242 20283 20876 20938 21092 21095 21106 21216 21299 21426 21431
100,random_restart_local,1.0483733503377504,571 1344 1385 1455 1792 2011 2524 2643 2687 3070 3459 4829 4989 5019 5049 5210 5536 5617 6109 6153 6781 7616 7643 7899 7996 8298 8462 8665 8710 8791 8850 9283 10012 10312 10810 10994 11112 11534 11843 11884 12047 12103 12210 12316 12551 13268 13422 13508 13834 14657 15466 15710 15758 16178 16285 16330 16338 16580 16705 16801 17095 17148 17231 17416 17460 17608 17658 17914 18212 18230 18396 18761 18916 19061 19334 19339 19465 19704 19878 20171 20245 20372 20488 20514 20547 21000 21056 21072 21266 21277 21293 21300 21375 21419 21439 21450 21463 21505 21523 21543
100,small_pool_row_sum,1.0562857218742043,17 19 45 164 489 734 978 1046 1143 1169 1466 1629 1677 1685 1792 1872 2280 2674 2831 2850 2881 2931 2968 3175 3257 3419 3479 3745 3955 4071 4276 4527 4885 4989 5049 5055 5090 5210 5356 5454 5536 5617 5861 6105 6187 6268 6431 6481 6489 6512 6594 6757 6761 6781 6904 7075 7118 7570 7733 7977 8050 8059 8064 8384 8402 8507 8602 8707 8710 8791 8850 9271 9330 9443 9605 9768 9790 9858 10012 10094 10114 10338 10419 10582 10632 10688 10908 11112 11730 11918 12629 13105 13150 13162 13187 13268 13349 13594 14326 15318
100,large_P_leverage,1.3226409829518926,19610 19704 19928 19958 19964 20092 20146 20154 20186 20236 20242 20270 20300 20360 20374 20390 20398 20406 20412 20418 20430 20458 20466 20468 20474 20478 20490 20520 20534 20556 20580 20594 20606 20616 20620 20626 20634 20638 20644 20650 20658 20662 20666 20670 20748 20756 20774 20782 20790 20794 20802 20806 20812 20818 20826 20832 20840 20844 20848 20852 20864 20868 20872 20880 20928 20940 20964 20968 20980 20986 20998 21006 21010 21016 21020 21026 21080 21086 21092 21096 21098 21110 21118 21122 21126 21140 21158 21162 21174 21180 21262 21268 21284 21304 21308 21320 21336 21362 21366 21568
100,small_diag_absPi,1.3404731809166917,11167 11287 15496 15758 15768 16042 16330 16338 16342 16572 16580 16586 16858 17086 17102 17142 17236 17402 17416 17610 17612 17658 17680 17714 17914 17944 17990 18162 18212 18222 18230 18454 18472 18482 18484 18490 18648 18694 18940 18948 19202 19291 19364 19387 19698 19704 19991 20150 20184 20236 20487 20488 20494 20752 20832 20840 21021 21022 21096 21118 21265 21266 21278 21279 21280 21293 21300 21317 21318 21343 21349 21357 21363 21375 21381 21387 21395 21401 21407 21413 21419 21425 21431 21439 21450 21464 21466 21470 21505 21509 21521 21523 21531 21535 21537 21539 21545 21553 21559 21567
100,large_diag_Q,1.3404731809166917,11167 11287 15496 15758 15768 16042 16330 16338 16342 16572 16580 16586 16858 17086 17102 17142 17236 17402 17416 17610 17612 17658 17680 17714 17914 17944 17990 18162 18212 18222 18230 18454 18472 18482 18484 18490 18648 18694 18940 18948 19202 19291 19364 19387 19698 19704 19991 20150 20184 20236 20487 20488 20494 20752 20832 20840 21021 21022 21096 21118 21265 21266 21278 21279 21280 21293 21300 21317 21318 21343 21349 21357 21363 21375 21381 21387 21395 21401 21407 21413 21419 21425 21431 21439 21450 21464 21466 21470 21505 21509 21521 21523 21531 21535 21537 21539 21545 21553 21559 21567
100,large_AP_energy,1.6326494636446154,2865 2866 7351 7352 7445 7446 7523 7524 7541 7542 7603 7604 7615 7616 7618 7639 7640 7747 7748 7783 7784 7823 7824 7825 7826 7851 7852 7921 7922 7925 7926 8089 8090 8091 8092 8175 8176 8297 8298 8301 8302 8479 8480 8481 8482 11393 11394 11567 11568 11661 11662 11767 11768 11793 11794 11797 11843 11844 11921 11922 11939 11940 11941 11942 12067 12068 12069 12070 12103 12104 12129 12130 12165 12166 12227 12228 12229 12230 12233 12234 12285 12286 12287 12315 12316 12341 12342 12395 12396 12397 12398 12427 12428 12431 12432 12537 12538 12549 12550 12652
